title,tags
Perfect Pink,not found... more.[]
Hatarakanai Futari,"a slice-of-lif stori about two siblings, both jobless shut-ins.haruko is a teenag girl who share with her brother a love of lay around the hous in sweats, watch televis and play video games. her brother ha a few friends, but haruko ha a lot of problem with social anxiety. the two of them pass their day happili play together, though their mother worri about how she' go more.['çalışmayan i̇kili ; ang walang trabahong magkapatid ; i̇şsiz kardeşl ; kaka-beradik penganggur ; the jobless sibl ; бездельники ; 働かないふたり', 'yoshida satoru', 'ongoing', 'comedi - seinen - slice of life']"
A Story About A Grampa and Granma Returned Back to their Youth.,"anoth short twitter manga about an old coupl turn young again. more.['おじいさんとおばあさんが若返った話。', 'kagiri araido', 'ongoing', 'comedi - fantasi - romanc - seinen']"
An Inferior Relationship,not found... more.[]
Doraemon,"from aku tenshi: doraemon, a cat shape robot which came from the 22nd centuri in the future, goe back in time in order to help nobita, a below averag lazi kid, to make hi life less miser and improv hi descendent' life. with mani of doreamon' gadget from the future, nobita' life will never be as the same. it' the start of mani interest adventur after between the more.['ドラえもん; 哆啦a夢; 多啦a梦; 小叮噹; 小叮当; 机器猫; đôrêmon; 萬能小叮噹; โดราเอมอน; 도라에몽; doraemon futur cat; mèo mái đôrêmon; doremon', 'fujiko f. fujio', 'completed', 'adventur - comedi - fantasi - school life - sci fi - slice of life']"
Pseudo Harem,"a manga about a girl who' realli good at acting, and the senpai she likes. more.['疑似ハーレム', 'yuu saitou', 'ongoing', 'comedi - romanc - school life - slice of life']"
Looking Through You,"su-hyeon is date hi univers senior, ji-ho, but somehow still feel lonely. ha-neul, a third year highschool who ha an unrequit love for su-hyeon, is alway eagerli await hi tutor time with su-hyeon. one day ha-neul confess to su-hyeon but is reject sinc su-hyeon can onli see him as a cute student and littl brother. the two of them go back to their everyday live but as more.['너를 펼쳐보다', 'gaehwa', 'ongoing', 'drama - romanc - school life - erotica']"
Lore Olympus,"wit what the god doafter dark. the friendship and the lies, the gossip and the wild parties, and of course, forbidden love. becaus it turn out, the god aren't so differ from us after all, especi when it come to their problems. stylish and immersive, thi is one of mythology' greatest stori -- the take of persephon -- as it' never been told before. more.['rachel smythe', 'ongoing', 'comedi - drama - fantasi - romanc - webtoon - manhwa']"
Vampires and Knight,"i, a holi male knight, wa captur after i lost a war against the vampires. “what, do you realli want to die? that isn't go to happen. embrac me, dear. from now on, you shall be my daughter.” said the silver-hair baby-fac queen of the bloodsuckers. she lift my chin and, with a vicious fang smile, drew in toward my neck. more.['vampir and knight comics', 'updating', 'ongoing', 'drama - fantasi - josei - psycholog - romanc - school life']"
The Predator's Lovely Fiance,"""you shouldn't have cross thi line, elisha, if you didn't want it to be like this."" a sturdi arm wrap around her sway body. her head becam hazi and an intent hot sweet sigh wa pull out of her. how the hell did i get myself in thi situation' elisha recalled. thi never happen before. yeah, i remember.' her futur in which she would becom the fake concubin to a demon man fro more.[""th predator' fiancé ; the predator' contract fiancé ; the predator' love fianc ; the predator’ fiancé ; 冷酷大将軍の契約妻 ; 捕食者的未婚妻 ; 포식자의 혼약자"", '리사벨 - jyulli - lisabel', 'ongoing', 'action - drama - fantasi - histor - romance']"
The Duchess Who Sees Ghosts,"bless with the abil to see and commun with ghosts, ladi julia robinhart is alway tri to make a quick buck off of her talents. for thi self-employ entrepreneur, there is alway money to be made in the industri of the supernatural. when julia sell one of her talisman to a stranger who seem to be weigh down by an apparition, she learn that kind isn't alway repaid in more.['garamd - honeyrain - min3', 'ongoing', 'fantasi - histor - romanc - supernatural']"
He’s Nothing But Handsome,"soon after she travel back to an ancient time, cecilia irvin, a doctor in the modern-day, wake up and find that she ha just slept with a man. soon, she get pregnant and give birth to a boy. after everyth is settled, she ha a few year of peac life. however, one day, her son bring her a ""handsome-but-useless"" man who is from the imperi secret office. and then here is a romant and more.[]"
Sierra,"the price for a love that should not be paid wa terribl ruin. sierra pray that she ha lost everyth she treasured. 'please, let me make a differ choic thi time.' time rewind like that, and sierra is onc again face with a choice. the time she return wa just one night spent with the one she loved. in their womb, there wa a child they had coldli eras more.[]"
Beast’s Flower,"bewar the witch in the forest for she may curs you with her stench! so everyon say about lyla, who wa abandon by her famili and cast away to a cabin deep in the wood for be born with a putrid odor. though she' spent her entir life alone, everyth chang the night viorst come knock at her door. when ask whi he isn't disgust by her, he claim it' becaus he lack the abil more.[]"
Vengeful Venomous Consort,"betray by her sister and her lover, prodigi tang xueyan wa on the verg of death. however, just as she reach her demise, xueyan wa reincarn in the purpl moon realm 200 year later, into the bodi of nangong xue the eldest daughter of the nangong family. nangong xue use to be a prodigi cultiv too, until she fell prey to an evil plot set up by her brother, lost her cultivation, more.['nì tiān dú fēi ; poison concubin against the heaven ; veng venom consort ; 転生毒妃～華麗なる復讐～ ; 逆天毒妃 ; 역천독비', '向南社', 'ongoing', 'drama - fantasi - histor - josei - romance']"
WEREWOLF KING’S WIFE,"hundr of year ago human and werewolv coexist peacefully. but due to an incid they start a war. long-stand problem have not found a solution. in the end .. the werewolv made a barrier between their world and the human world, five hundr year passed.. suddenli the werewolf king declar peace. but on one condit he want a bride with certain trait of the human race. more.[""werewolf king' wife"", 'updating', 'ongoing', 'fantasi - romance']"
Two Sions,"daeho, who ha a crush on hi friend 'sion', decid to be courag and confess to sion. but then sion sneer at daeho' confess which lead to the start of a violent relationshipaft be hurt by sion, daeho feel devast by the book he wa encourag by to confess... but right at that moment, a strang light eman from the book and take daeho to anoth world. more.['두 명의 시온 ; du myongi sion', 'hwamma sirae', 'ongoing', 'fantasi - isekai - erotica']"
Minami no Teiou,"center around ginjir manda, a loan shark who charg toichi — 10% more interest everi 10 days, or 365% everi year. thank to hi unrel money-collect tactics, he is fear as ""minami no oni"" or the ""demon"" of osaka' minami busi district. more.[]"
No Home,"haejoon goh, who ran from home, and eunyung baek, the problem child who live in a tent. these two, who met under terribl circumstances, are forc to live togeth in an abandon dormitory. thi is a stori of difficult growth between two peopl who hate both the dorm and each other. more.['i have no house; no house; 집이 없어 no home ; homeless ; no home', 'wanan', 'ongoing', 'comedi - drama - slice of life']"
It’s my first time getting married,"""ahn do-woon. will you marri me?"" yeon-bora, the ceo of the popular wed shop violet. propos to nation actor ahn do-woon! bora wa abus and discrimin against at home becaus of her parent wrong marriage. by chance, she ran into dowoon, the oppon of her cousin jiyoung, who wa the target of discrimination. i'm have a one-to-on accident. ""i'm sorry. i wa short on my thoughts. so more.[""저도 결혼은 처음이라서요; let' get hitch ;ini pertama kalinya aku menikah; it' my first time get marri ; marié à tout prix ; 我也是第一次结婚 ; 結婚するのは初めてなので ; 저도 결혼은 처음이라서요"", 'cha hye-jin (chocol devil)', 'ongoing', 'drama - romance']"
My Unexpected Loved One,"on the eve of su wei' wedding, she catch her groom be intim with anoth woman. to add insult to injury, the groom doesn't even show up at their wedding. will she swallow the insult and put up with a marriag without love?ador wife fall from heaventian jiang meng qitin jing mng q more.['ador wife fall from heaven, tian jiang meng qi, tiān jiàng méng qī, 天降萌妻', '左岸卡漫', 'ongoing', 'drama - romanc - shoujo']"
One Step Away From Happiness,"one step to happi end / selangkah menuju happi end / binah ha lost her father in an accid and ever sinc her mother work hard to earn money for both of them. she often left alon at home while her mother wa working. dure that time, she met the twin heeseo and heewun and soon they becam close friends, even closer as family. a few year later, heewun confess hi feel to bin more.['on step away from happi ; one step to happi end ; selangkah menuju happi end ; 해피 엔딩까지 한 걸음', 'byeok gongwoo', 'ongoing', 'comedi - drama - josei - romance']"
Surviving As a Fish,"on the verg of death from the betray of hi trust colleague, 'lee yoo shin' see a ray of light moment befor dying. ""do you want to start a new life again?"" when he came to hi senses, there wa a vast reservoir in front of him and hi bodi had turn into a fish. will he be abl to overcom all the hardship and return to hi family' arms? more.[]"
I Don’t Like That Smile,"“that cool face of yours… i want to mess it all up” ritsuki told sumir at the gym. a game between the school’ most popular boy, ritsuki and a friend ha begun. the game wa to win the heart of sumire, who wa rumor to be the biggest slut in school. as ritsuki becom closer to sumire, he start to see sumire’ true colors. a bitter sweet love stori of 2 peopl wi more.[]"
Baby Who Catches The Wind,"as the unfortun red-hair baby, tilia is save at the brink of her death by the beauti yet penniless linden family. reborn as a baby, she' unabl to speak or express her gratitud to the linden family, but that' when she discov that she see weather sign on top of people' heads! after countless experiments, she realiz that the weather sign depict people' love affairs. she use her more.[]"
"Senior, Don't Run Away","polar opposit attract. yu sheng doesn’t want friendship, romance, or ani social interaction. all she want is to write horror fiction. that is until her new neighbor, a sport major freshman from her school, begin to chase after her all day long and her life begin to chang drastically! more.[""学姐你别跑 / yu sheng, don't run away!"", '肆嘉 (si jia) - none', 'ongoing', 'romanc - school life - shoujo - slice of life']"
"Once Wicked, Always Wicked","i am a success woman in her 30' excel at her career. but i guess the tabl turn when life seem too perfect. it is just my luck that i woke up as camilla elchasis, a charact in my favorit novel whose life is fill with trouble. after possess camilla' body, i first need to get rid of my ridicul fianc and hi mistress who are fool around in my house. i must also deal with my h more.[]"
The Imposter,"""don't worry, i won't harm you.""gaeun is enjoy her perfect high school life until she encount haeun, her ident twin. except she doesn't have a twin. thing start get strang when everyon behav as though haeun ha alway existed, includ gaeun' own family. now, gaeun must defend her ident from thi imposter.th imposter, desir me, you want me, , mangabuddi is a websit de more.['desir me, you want me, 想要我, 나를 원해', 'south space', 'ongoing', 'drama - horror - mysteri - psycholog - shoujo - slice of life - supernatural']"
Assassin's Creed: Forgotten Temple,"read manhwa on warning:, the largest english comic websit ha just updat the latest chapter of manhwa ""assassin' creed: forgotten temple""summary:edward kenway return to take the leap of faith in an all-new adventure. the high-sea hunt is on for a long-lost treasur left by those who came before. but thi time, the templar aren't the onli one after the prize. join history' most cun p more.['어쌔신 크리드 - 잊혀진 사원', 'ubisoft', 'ongoing', 'action - adventur - fantasy']"
The Tyrant’s Crush,"the tyrant who ruin my life is suddenli kind?!bland and unexcit yui shinohara had live a mediocr life until one day, she suddenli die and reincarn into a heroin in a romanc novel. although she got to live her second life as marilyn, a beauti girl born into a nobl family, her life get ruin by a tyrant and a villainess. just befor die a wrong death, marilyn is save by the more.[]"
Some Kind of Marriage,"meet daeun yoo--an independ woman build her career in fashion... until she' transfer to person assist joowon han--a young ceo of a success fashion business. throw the gutsi assist and her egotistic, moodi boss in a birthday party, and voilà--a disastr collis of a two-tier cake smush between them on the floor for the entir compani to see, no less! she anxious await h more.['unfriendli marri life ; unkind marri life ; 不亲切的婚姻生活 ; 불친절한 부부생활', 'cblossoma - damjang - seuteu - aego', 'ongoing', 'drama - fantasi - josei - romanc - manhwa']"
The Scandalous Secret of the Crown Princess,"min bo ha ha magic powers. she could see a person' memori when she touch them. she wa abandon by her famili becaus they consid her power to be a curse. after be dumped, bo ha surviv as a boy. one day hi father ask her to return home and forc her to becom the wife of the crown princ to replac her sister who wa said to be dead. bo ha is forc to enter the palac and marr more.[]"
There's No Friendship Between the Grand Duke and the Marquis,"one peac day, her first ordeal come befor her. instead of the other twin ordo , who wa sick, she must attend the meet with the a princ of her age. ""i don't want to go! whi do i have to pretend to be ordo?"" ""hey, ovette. i'll buy you the telescop you said you want to have last time."" ""mom, i will becom ordo more perfectli than anyon else."" ovett enter the imperi palac with eve more.['대공과 후작 사이에 친구가 어디 있어 ; no hay amistad entr el gran duqu y el marqués', 'tiba - yell yell', 'ongoing', 'comedi - drama - fantasi - histor - romanc - shoujo - webtoon - manhwa']"
Yeon Woo's Innocence,"yeonwoo possess such a delic appear that he could be mistaken as a femal student. however, he ha a secret crush on the school idol, gang haesol. but the shi and timid yeonwoo ha never said a word to her… yeonuui sunjeong more.[""연우의 순정 ; yeonwoo sunjeong ; yeonwoo' innoc ; 延禹的纯情 ; รักใสๆ ของยอนอู"", 'esol', 'ongoing', 'comedi - romanc - school life - shoujo - slice of life']"
Little Matcha Girl,"poor matilda. all she want out of life is to be a runetub star share her escapad with fellow adventur from around the world. but when you'r the granddaught of a killer mafia boss, and necrom is a famili tradition, your life plan have a tendenc to go awry. more.['updating', 'ongoing', 'action - adventur - fantasi - school life - shoujo']"
Your perfume,"what if you could return to a moment in your memori that can be recal by a scent? thi is the stori of a perfumer, who goe by the name j, and the peopl who are tranc by the perfum j make in which the extract of a fragranc is reminisc of their nostalgia. more.['ho woo', 'ongoing', 'drama - slice of life']"
A Story About a Grandpa and Grandma Who Returned Back to Their Youth,"a twitter seri by the creator of ""osananajimi ni najimitai"", thi stori is about ine and shouzou, two pension well into their 80 who are mysteri return to their 20 one night. author' twitter author' pixiv support on fanbox! more.['jīsan bāsan wakagaeru ; ojii-san to obaa-san ga wakigaetta hanashi ; sebuah kisah tentang kakek dan nenek yang kembali ke masa mudanya. ; история о дедушке и бабушке, которые снова стали молодыми ; おじいさんとおばあさんが若返った話。 ; じいさんばあさん若返る', 'araido kagiri', 'ongoing', 'comedi - fantasi - romanc - slice of life']"
Villainess Speedrun Stream,"a man who lost hi life in an accid is reincarn into an otom game world with a mission given by god who want entertainment. and the background stori in the game is that she is incarn as a villain princess character, which turn out to be a good person but she is instead exil after that the game will be speedrun and streamed!? he wa told the sooner he wa exil the more benefit he more.[""ts悪役令嬢神様転生善人追放配信rta～嫌われ追放エンドを目指してるのに最強無双ロードから降りられない～ ; ts akuyaku reijō kamisama tensei zen'nin tsuihō haishin rta ~ kirawa re tsuihō endo o mezashi terunoni saikyō musō rōdo kara ori rarenai ~"", 'sayuki', 'ongoing', 'action - fantasi - school life - shounen - isekai']"
Updater,"the blacksmith npc ‘aidan.'on day, hi villag get delet by the hand of the system moder and as he and hi littl sister ‘elise' perished, he swore to himself.i'l destroy thi system with my veri hands.it wa then…!“you have unlock moder perms, moder lv. 1”aidan wake up with a new power,mark the begin of hi journey as a modera more.['updating', 'ongoing', 'action - adventur - fantasy']"
Catching Up With Luke Bischel,"bastian effenberg, the best duke in the world who had noth to fear. she declar that she will marri the kingdom' top monster hunter, luke bischel, who is the exact opposit of her! the marriag of two peopl who are opposites, can it realli go smoothly? more.['conquistando luke bischel ; catch up with luke bischel ; à la poursuit de luce vischel 루크 비셸 따라잡기', 'akkobbang - esti', 'ongoing', 'comedi - fantasi - romanc - shoujo']"
Catching Up With Luke Bischel,"bastian effenberg, the best duke in the world who had noth to fear. she declar that she will marri the kingdom' top monster hunter, luke bischel, who is the exact opposit of her! the marriag of two peopl who are opposites, can it realli go smoothly? more.['conquistando luke bischel ; catch up with luke bischel ; à la poursuit de luce vischel 루크 비셸 따라잡기', 'akkobbang - esti', 'ongoing', 'comedi - fantasi - romanc - shoujo']"
Dragondaily,"read manhwa on warning:, the largest english comic websit ha just updat the latest chapter of manhwa ""dragondaily""summary:a runaway nobl lady, now a maid at an inn.meryl parte, the count' onli daughter, escap an unwant marriag and flee to harp island to keep a promis to her late mother. after a night at the rundown inn dragondaily, she wake up penniless and in bed with more.['on night besid the dragon, 하룻밤은 드래곤곁에서', 'geulsseom', 'ongoing', 'fantasi - romance']"
A Young Master,".in order to keep hi underl afloat, kyle enter the roch household as a servant. he meet the strang and beauti young master, adrian. as kyle take care of the abandon and wayward adrian, they grow closer through mind and body.. their relationship grow deeper and whenev adrian see kyle hi appetite?! suddenli kyle' day of rearing(?) becam day dedic to be adrian' restaur more.[""도련님의 식탁 ;a young master; the master' appetit ; el apetito insaci del joven amo ; l'appétit du jeun maîtr ; master' meal ; master' tabl ; young master (nansae) ; 도련님의 식탁"", 'nansae', 'ongoing', 'matur - smut - yaoi']"
I’m living with my Mother-in-law!,"it' well-known that live with one' mother-in-law is basic he**. so marri a poor merchant with no famili should be an easi way to avoid that mess, right? well, that wa elaen' plan until she realiz that her husband, ahen, lie to her, and is actual the son of the empire' feroci grand wizard, kanessi corenea, who she'll have to live with at her palace! though intimid at fir more.['왜 이러세요 시어머니?', 'gongyoung', 'ongoing', 'adventur - comedi - drama - fantasi - romanc - shoujo - webtoon - manhwa']"
Americano-Exodus,"from easi go scan in a world where onli femal are born with the abil to practic magic, amel, a boy is born with the ability. in thi world, he must conceal he is a male or he will be consid illegal. from the prestigi espresso family, he/sh must prove that onli he/sh is need to captur the illicit escapees. origin webtoon more.['исход ; исход американо ; アメリカーノエクソダス ; 아메리카노 엑소더스 ; 美式出埃及记 ; 阿邁爾凱諾出埃及記', 'park ji-eun', 'ongoing', 'action - adventur - gender bender - shounen - supernatur - webtoons']"
Reborn As a Character That Never Existed,"reborn as the charact that never exist manga read onlin on mangabuddy!""aft meet her death, thalia is reborn as the femal protagonist' older sister, a charact that never exist in the novel she wrote in her past life. she tri hard to get attach to the world insid the novel, but she get caught up in the thought that everyth is just a mere creation of her own. ""pleas make til more.['reborn as a charact that never exist / 원작에 없는 인물로 태어났습니다', 'hansiryeong - nina (ii)', 'ongoing', 'fantasi - romanc - manhwa']"
The Deviless’s Impression of a Princess,"read manhwa the deviless' impress of a princesshow to catch a knight? imperson a princess!lilith the demon queen long to meet a knight like the one she read about in books. in order to lure one to her castle, she kidnap a princess and waits. much to her delight, the knight who show up is exactli as she pictur him! she decid to disguis herself as the princess to captur hi heart more.['genzgal', 'ongoing', 'drama - fantasi - romanc - webtoon - manhwa']"
THE [email protected] Cinderella Girls - After20,"thi stori is about big girl who realli love food and booze.part of the [emailprotected] series. more.['アイドルマスター シンデレラガールズ after20', 'bandai namco entertainment', 'ongoing', 'slice of life']"
My Girlfriend Is a Nine-Tailed Fox,"daewoong wish to be an actor but face opposit from hi grandfather. he goe to cheonbosa templ where hi deceas parent are enshrined, and there, he meet a gumiho seal in a paint by the grandmoth samshin for 500 years. astounded, daewoong run away and fall off a cliff, then the gumiho save him by give him her fox bead. thank to the fox bead, daewoong come back to life. at f more.['mi girlfriend is a gumiho', 'hong jeong-eun - hong mi-ran - yoo-lim', 'ongoing', 'romanc - supernatural']"
Only I Can Speak the Ancient Language of Magic,"wake up in a fantasi novel set in an ancient magic world wa confus enough for sisha. but on top of that, she happen to be the onli person who could read and understand the old text recov from the secret librari kept hidden for thousand of year furthermore, to sisha' surprise, the ancient languag of forbidden magic turn out to be none other than modern english! with the emperor more.[]"
My Former Bias Can’t Find Out,"read manhwa my former bia can't find out / defend the secret from my former bias! / sign, fan incognito / !like mani befor her, success bl author kwon mina cut her teeth on fanfict in her youth, write sordid tale about her favorit star in sensual scenario with their bandmates. now a profession novelist, mina' determin to write the best romanc sinc the invent of paper and more.['defend the secret from my former bias! / signé, fan incognito / 구최애로부터 비밀을 사수하라!', 'seonma', 'ongoing', 'comedi - josei - romanc - manhwa']"
Shuumatsu no Jinrui ni Bunmei wa Hitsuyou desu ka?,"year xxxx a.d. in thi apocalypt world rule by ""god,"" human live as if crawl on the ground. the human race ha dwindl to a few people, but in the midst of all this, kasago blindli believ in ""god"" and engag in the ""civil recovery"" business, take civil away from human as he is command to do. on the other hand, mebaru, which kasago met on hi way to work, doe not even more.[]"
The Heat of the Reincarnated Villainess,"a detest villai and a proper princ are instinctu drawn to each other' bodi befor they have a chanc to develop feelings. what will their destini be!? i wa reincarn into the world of the otom game ""princ of prince"" as rose, the hate villainess. originally, the heroin and the princ were suppos to be attract to each other, and due to the influenc of a special pherom more.[""akuyaku reijou no hatsujou-ki ; le désir irrépress de la méchant ; o período de cio da vilã ; the villain' rut period ; 悪役令嬢の発情期"", 'iruka notsuno - tanimura nijuu-en - mizuno saikoro - studio73', 'ongoing', 'drama - fantasi - histor - josei - matur - romanc - smut - isekai']"
I Will Seduce the Northern Duke,"read manhwa i will seduc the northern duke / ""pretend to be my lover and join the social circle."" selina, the top star that had the entir world' attention, wa suddenli warp to northern duke' land dure an accid while filming. kalcion, the northern duke that save her from the infern beasts, offer selina a chanc to go back home in return for collect inform in variou social more.[""charm the duke of the north ; i seduc the northern duke ; i will seduc the northern duke ; i'll seduc the northern duke ; je vai séduir le duc du nord ; kế hoạch là quyến rũ công tước phương bắc ; seducir al duqu del nort ; я соблазню северного герцога ; я спокусила північного герцога ; 攻略北部公爵大人 ; 诱惑北部公爵 ; 북부 공작님을 유혹하겠습니다"", 'gachunga - zusiha - stardustvia', 'ongoing', 'drama - fantasi - romanc - webtoon - manhwa']"
"Shin no Nakama janai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita","in a fantasi world in which a young girl with the divin protect of the hero battl against the demon lord. in that world, red, the elder brother of that young girl hero, possess the divin protect of the guid which onli grant a high initi level, fought in the initi parti of the hero.however, with a divin protect that onli grant a high level but no magic nor martial art nor su more.['shin no nakama janai to yuusha no parti wo oidasareta node, henkyou de slow life suru koto ni shimashita', 'updating', 'ongoing', 'action - adventur - comedi - medic - slice of life']"
Revenge Queen,"abandoned, framed, tragic ending... a quick-transmigr femal support lead ha had enough! whi must a support charact have to be a contrast to the main lead?! from thi world onwards, she ha decid to take fate into her own hands, no longer listen to the system' plans! push asid all obstacl and difficulties, she fulfil her own dreams, whilst use all sort of method more.['快穿女配冷静点', 'bao qing manhua - 是荔之啊 - 杜了了', 'ongoing', 'fantasi - josei - romance']"
I'm the Only One With Genius DNA,"a statu window appear in front of ryu young-jun, a research at a pharmaceut company. rosalin’ statu window, an artifici cell that know everyth about biology. more.[""i'm the onli one with geniu dna ; my life turn into a miracl ; super geniu dna ; ลุยเดี่ยวไปกับ dna อัจฉริยะ ; 俺だけ天才dna ; 나혼자 천재 dna"", 'im ido - ji un-seong', 'ongoing', 'fantasi - medic - manhwa']"
Sex Domination!! -Let’s Decide Who’s On Top Once and For All-,not found... more.[]
Starfall,"he wa born the son of a king, but chose to walk a path that is pave with hardship and struggles. she wa born with a flaw that make her shun by society. due to an accident meeting, a new relationship is begin to form. littl did they know about the troubl they would face due to their differ backgrounds. but, as long as they are togeth they can fa more.['lapin', 'ongoing', 'fantasi - romance']"
Crescendo,"aiden met bryan dure a surviv idol audition.now they are prepar to debut as a duo unit name crescendo. but someth happen and everyth won't be the same anymore... more.['; crescendo', 'kusotaisa - mizuno.h', 'ongoing', 'drama - romanc - shounen ai - webtoons']"
The Male Lead's Little Lion Daughter,"""i'm go to adopt a child.""duk ferio voreoti' impuls decis shock everyon in the mansion.not onli did he make her hi daughter, but he also gave her the name of a beast' that onli direct member of the bloodlin could receive.""even as you breath right now, i'm earn money.""""it' confidence, not arrogance.""""mi face realli doe have it advantages.""th most arrog father in the whol more.[""aku menjadi anak angkat pemeran utama ; duke mengadopsi putri singa ; i becam the male lead' adopt daughter ; the male lead' adopt daughter ; 主人公の養女になりました ; 成为男主的养女 ; 成為男主的養女 ; 남주의 입양딸이 되었습니다"", 'latina - ttona - 돼지케이크 - 라티네', 'ongoing', 'comedi - drama - fantasi - romance']"
Zero Game,"a fantasy/drama stori that follow a young girl as she particip in a surviv game with the prize be a chanc to rebuild her life to be better than the one she had. and the price of failur be her death. more.['제로게임', 'jeulbahsen', 'ongoing', 'drama - fantasi - webtoons']"
Annie Green Hates Girls,"anni green, a 16-year-old girl who ha alway had a hard time get close to girls, face the worst rumor go around school... that she hate them! that' not true at all! anni will fight to deni thi fals rumor and will tri to achiev what she ha alway wanted: to make friend with girls. her friend eugen and colin will accompani her on thi incred adventur full of misunderstand more.['updating', 'ongoing', 'josei - romanc - school life - slice of life']"
Circumstances of Switching Bodies,"the princ wa curs of switch bodi with the woman he spent the night with, and i becam the daughter of the duke who could not solv the curse. tempt to solv the curse, i seduc him indiffer and spent the night with him. i gave him the antidote, so i stop pay attent to him… “princess, you'r leav me becaus you weren't satisfi that nig more.['becom you ; circumst of switch bodi ; menjadi dirimu ; คืนร้อน คำสาปรัก ; 互换身体的缘由 ; 体が入れ替わった事情 ; 王子殿下身体的使用方法 ; 몸이 바뀌는 사정', 'furik - youndal - luna - 달꽃 - 윤달 - 푸릭', 'ongoing', 'fantasi - romanc - shoujo - manhwa']"
Qian Ren Wei Wang,"after badmouth the gods, he muyan wa thrown into the system to be reborn infinitely. he wa reincarn as an elf in hi seventh rebirth, when he realiz the realiti and plan to head in a bad direct befor see a face he could never forget, hi ex-boyfriend, jin yuanchen. how could he be here, and whi he had becom a bandit, and kidnap he muyan to be mrs. yanzhai (husband)? more.['form king (good text studio) ; my ex is the king ; qián rèn wèi wáng ; 前任为王', 'good text studio - 良之著工作室', 'ongoing', 'comedi - drama - fantasi - romanc - shounen ai - webtoons']"
Hongshi Loves Me!,"“hongshi love me!” tell the excit school life of a 20-year-old 12th grader! look forward to a school campu sitcom full of affection! more.['hongshi like me!; 홍시는 날 좋아해!', 'ganghada', 'ongoing', 'comedi - romanc - school life - shoujo - slice of life']"
King of Martial Arts,"be kick out by the sect? be humili by fellows? and be alien by my lover?non of those could stop me, even if my inner power pool is broken.wait when i reach the top and becom the king of martial arts!th god warrior king, more.['th god warrior king, 仙武帝尊', 'xiaomingtaiji', 'ongoing', 'action - adventur - fantasi - supernatur - manhua']"
Tales of A Shinning Sword,"eunho, the strongest in the yokai realm!h gain the chanc to becom a human be after lose the woman he love and kill countless yokai.aft pass the gate of reincarn by accumul merit for a thousand year to abandon hi immort bodyh becam a human being, held a sword, and learn martial art for the first time.but thi is veri easy? more.[]"
I Have An Apocalyptic Dungeon,"a femal president? then come help me manag the shelter. a femal special forc soldier? then come and be the captain of the guards. at the end of the world, titl like ceos, beauti women, secretaries, electricians, programm and all other profess are all no longer useful. don't be afraid to come to my underground system shelter- as long as you are talent peopl and human b more.['我有一座未世地下城', 'walter bloodhoof', 'ongoing', 'action - harem']"
Miss Divine Doctor: Conquer The Demon King,"jun jiu, the divin doctor, wa kill by her competitor and time travel to anoth world. she break into a seal altar, and a mysteri man snatch her chin and forc her who' thi arrog demon?!mangatoon got author from iread to publish thi content, the content is the author' own point of view, and doe not repres the stand of mangatoon. more.[""i'm rais a man in a differ world: the divin doctor, miss jiu ; aku memelihara pria luar biasa di dunia lain ; estoy criando a un hombr en un mundo diferente, la doctora genio, jun jiu ; i'm rais a man in a differ world: the divin doctor, miss jiu! ; mi objetivo: conquistar al rey demonio ; miss divin doctor: conquer the demon king ; médica divina conquista o rei do demônio ; ta nuôi nam thần ở dị giới ; the divin doctor, miss jiu! ; 我在异界养男神：神医九小姐"", 'zan wu', 'ongoing', 'fantasi - romanc - shoujo']"
My Daughter Is a Musical Genius,"i wa crazi about music and dedic my entir life to it, but i neglect my daughter. i soon start to regret that for the rest of my pathet life. just like that, i died, but when i open my eyes, it wa 10 year ago. thi time, i vow to be a good father. by the way, i think my daughter is a music genius. more.['mi daughter, the music prodigi ; daughter of music geniu ; my daughter is a music geniu ; my daughter is a music geniu ; putriku seorang ahli musik ; 僕の娘は音楽の天才 ; 내 딸은 음악천재', 'kings2ac - lee hansung - harvey - 이한성 - 깅삵 - 하비', 'ongoing', 'comedi - drama - fantasi - slice of life - webtoon - manhwa']"
Reincarnated Princess Loved by Scum,"due to the scum men who ruin her life, the protagonist kozu wa grant “the abil to recogn scumbags” by god and wa reincarn into anoth world. she is live her second life as princess christa. there, she dream of be with a wonder partner, but becaus of the sudden reviv of the demon king, thing take a drastic turn. the king command christa to marri the “hero” who defeat more.[]"
The Tale of a High School Ninja,"kohana get manipul into ""sexual training,"" by her childhood friend tora who tell her that the experi is necessari for her to be assign to a mission where she get to play lover with her master who she loves. will she be abl to resist as tora' demand gradual increase? the answer is no. more.[""jk kunoichi wa subet wo sasagetai ; die geschicht ein highschool-ninjas: let' kick ass ; jkくのいちは全てを捧げたい ; l'histoir d'un ninja au lycé ; nàng ninja muốn tận tâm cống hiến ; the tale of a high school ninja: let' kick ass!"", 'umechazuke', 'ongoing', 'comedi - drama - josei - matur - romanc - school life - slice of life']"
